prod_descricao;prod_marca;prod_price;prod_dataref;spo-temp;spo-umid;spo-uv;bra-temp;bra-umid;bra-uv;pve-temp;pve-umid;pve-uv;flo-temp;flo-umid;flo-uv;rj-temp;rj-umid;rj-uv;periodo_dia
Hidratante Facial Neutrogena Face Care Intensive 3 em 1 - 100g; Neutrogena;37.99;27/08/2024 18:17;12.1;71;1;28.3;35;7;32.4;34;10;15.0;72;1;19.0;64;1;noite
Hidratante Facial Neutrogena Face Care Intensive 3 em 1 - 100g; Neutrogena;37.99;03/09/2024 13:44;30.1;35;9;31.0;16;9;33.0;47;11;23.2;65;7;24.4;74;8;tarde
Hidratante Facial Neutrogena Face Care Intensive 3 em 1 - 100g; Neutrogena;37.99;02/09/2024 07:50;18.1;83;7;15.2;59;7;24.2;83;1;14.3;94;4;23.1;69;7;manha
Hidratante Facial Neutrogena Face Care Intensive 3 em 1 - 100g; Neutrogena;37.99;26/08/2024 09:55;11.3;71;5;18.1;73;7;21.3;43;7;12.1;62;5;17.2;88;5;manha
Hidratante Facial Neutrogena Face Care Intensive 3 em 1 - 100g; Neutrogena;37.99;30/08/2024 18:38;26.3;18;1;27.3;32;7;34.4;41;9;18.4;77;1;23.4;65;1;noite
Hidratante Facial Neutrogena Face Care Intensive Antissinais Reparador - 100g; Neutrogena;37.99;23/08/2024 21:36;17.2;77;1;26.3;32;1;31.3;49;1;15.3;77;1;27.0;54;1;noite
Hidratante Facial Neutrogena Face Care Intensive Antissinais Reparador - 100g; Neutrogena;37.99;24/08/2024 22:49;15.3;94;1;22.1;46;1;29.4;66;1;12.0;71;1;23.3;78;1;noite
Hidratante Facial Neutrogena Face Care Intensive Antissinais Reparador - 100g; Neutrogena;37.99;05/09/2024 07:09;20.4;60;8;16.3;55;8;26.0;84;8;16.2;82;4;21.3;100;8;manha
Hidratante Facial Neutrogena Face Care Intensive Antissinais Reparador - 100g; Neutrogena;37.99;03/09/2024 13:44;30.1;35;9;31.0;16;9;33.0;47;11;23.2;65;7;24.4;74;8;tarde
Hidratante Facial Neutrogena Face Care Intensive Antissinais Reparador - 100g; Neutrogena;37.99;08/09/2024 17:18;32.2;24;8;29.2;20;8;36.3;35;11;21.3;83;7;28.0;66;7;tarde
Hidratante Facial Neutrogena Face Care Intensive Antissinais Reparador - 100g; Neutrogena;37.99;27/08/2024 18:17;12.1;71;1;28.3;35;7;32.4;34;10;15.0;72;1;19.0;64;1;noite
Hidratante Facial Neutrogena Face Care Intensive Antissinais Reparador - 100g; Neutrogena;37.99;29/08/2024 18:35;24.4;44;1;26.2;39;1;34.1;41;9;20.3;73;1;23.0;69;1;noite
Hidratante Facial Neutrogena Face Care Intensive Antissinais Reparador - 100g; Neutrogena;37.99;02/09/2024 07:50;18.1;83;7;15.2;59;7;24.2;83;1;14.3;94;4;23.1;69;7;manha
Hidratante Facial Neutrogena Face Care Intensive Antissinais Reparador - 100g; Neutrogena;37.99;30/08/2024 18:38;26.3;18;1;27.3;32;7;34.4;41;9;18.4;77;1;23.4;65;1;noite
Hidratante Facial Neutrogena Hydro Boost Water Gel - 50g; Neutrogena;59.9;05/09/2024 07:09;20.4;60;8;16.3;55;8;26.0;84;8;16.2;82;4;21.3;100;8;manha
