prod-descr;prod-marca;prod-preco;data_ref;spo-temp;spo-umid;spo-uv;bra-temp;bra-umid;bra-uv;pve-temp;pve-umid;pve-uv;flo-temp;flo-umid;flo-uv;rj-temp;rj-umid;rj-uv;periodo_dia
 Australian Gold  Antipoluição FPS 30 - Protetor Solar Facial 50g ; Australian Gold ;30.9;2024-09-09 14:07;33.4;23;9;29.3;19;8;35.2;44;11;21.3;83;7;33.4;39;8;tarde
 Australian Gold  Antipoluição FPS 30 - Protetor Solar Facial 50g ; Australian Gold ;30.9;2024-08-23 21:43;17.2;77;1;26.3;32;1;31.3;49;1;15.3;77;1;27.0;54;1;noite
 Australian Gold  Antipoluição FPS 30 - Protetor Solar Facial 50g ; Australian Gold ;30.9;2024-08-22 15:08;30.3;25;9;30.1;21;8;35.0;39;11;24.2;74;7;30.0;55;8;tarde
 Australian Gold  Antipoluição FPS 30 - Protetor Solar Facial 50g ; Australian Gold ;30.9;2024-09-12 20:37;27.1;26;1;26.4;39;1;32.4;52;1;21.3;78;1;29.4;55;1;noite
 Australian Gold  Antipoluição FPS 30 - Protetor Solar Facial 50g ; Australian Gold ;30.9;2024-09-20 09:52;21.2;73;8;24.0;47;8;27.4;70;9;20.3;94;5;24.1;78;8;manha
 Australian Gold  Antipoluição FPS 30 - Protetor Solar Facial 50g ; Australian Gold ;30.9;2024-09-15 17:42;18.2;88;5;31.2;15;8;33.3;53;11;16.2;94;4;24.1;83;7;tarde
 Australian Gold  Antipoluição FPS 30 - Protetor Solar Facial 50g ; Australian Gold ;30.9;2024-09-18 11:49;19.2;64;7;28.2;40;8;31.4;52;10;21.0;69;5;24.1;61;8;manha
 Australian Gold  Antipoluição FPS 30 - Protetor Solar Facial 50g ; Australian Gold ;30.9;2024-09-17 09:29;16.3;82;5;26.2;39;8;27.2;70;9;19.1;73;6;20.1;100;6;manha
 Australian Gold  Antipoluição FPS 30 - Protetor Solar Facial 50g ; Australian Gold ;30.9;2024-08-26 16:16;16.1;42;6;28.1;35;8;29.1;29;10;17.0;52;5;18.1;64;5;tarde
 Australian Gold  Antipoluição FPS 30 - Protetor Solar Facial 50g ; Australian Gold ;30.9;2024-08-30 19:01;26.3;18;1;27.3;32;7;34.4;41;9;18.4;77;1;23.4;65;1;noite
