prod-descr;prod-marca;prod-preco;data-ref;spo-temp;spo-umid;spo-uv;bra-temp;bra-umid;bra-uv;pve-temp;pve-umid;pve-uv;flo-temp;flo-umid;flo-uv;rj-temp;rj-umid;rj-uv;per_manha;per_noite;per_tarde;data-ref-segundos;ano;mes;dia;soma;media;soma-p;media-p;soma-z;media-z;dia_da_semana;origem_AMAZON;origem_BNW;origem_EPOCA
NIVEA SUN Protetor Solar Facial Tripla Proteção Loção Antissinais FPS 50 40ml - Com fórmula ultraleve e alta proteção, esse protetor solar tem triplo combate contra os raios UVA/UVB, radicais livres e luz visível, além de aumentar a produção de colágeno e reduzir rugas e linhas de expressão;BDF NIVEA;39.9;2024-08-30 18:45:00;0.7464504560618449;-1.601179256930404;-1.2855440340019857;0.40177417422728934;-0.41151532466988666;0.35407717953048173;0.9799468065776982;-0.9190758506075664;0.44307830948872473;-0.08807438136224262;-0.11622653874132292;-1.2851805786905242;-0.16720276123872024;-0.5014898300840084;-1.2541892327819162;0;1;0;-0.6809304333101374;2024;8;30;-1.0697965661986724;-1.0697965661986724;-0.8772447494677096;-0.8772447494677096;-0.9716806690918759;-0.9716806690918759;4;1.0;0.0;0.0
NIVEA SUN Protetor Solar Facial Tripla Proteção Loção Antissinais FPS 50 40ml - Com fórmula ultraleve e alta proteção, esse protetor solar tem triplo combate contra os raios UVA/UVB, radicais livres e luz visível, além de aumentar a produção de colágeno e reduzir rugas e linhas de expressão;BDF NIVEA;39.9;2024-09-01 14:49:00;1.5039286459186922;-1.4820655297072485;1.2006313182606978;1.050858627884829;-1.202019451899873;0.6727245435098583;1.6296513390907443;-1.2734782272769567;0.9606311019413297;1.2742966809967509;-0.8341219613291729;1.0605157225886577;1.3781232449821732;-1.3968447640268145;0.9140774004164157;0;0;1;-0.4776202964736587;2024;9;1;0.850386775801294;0.850386775801294;-0.6926658355452776;-0.6926658355452775;-0.604826266858507;-0.604826266858507;6;1.0;0.0;0.0
NIVEA SUN Protetor Solar Facial Tripla Proteção Loção Antissinais FPS 50 40ml - Com fórmula ultraleve e alta proteção, esse protetor solar tem triplo combate contra os raios UVA/UVB, radicais livres e luz visível, além de aumentar a produção de colágeno e reduzir rugas e linhas de expressão;BDF NIVEA;39.9;2024-09-01 21:24:00;-0.011027733795002386;-0.6085648634041096;-1.2855440340019857;0.1421403927642736;-0.6989713709353362;-1.5578070043457781;0.017421573225038015;-0.6237405367164078;-1.6271328603216955;-0.11645711182805438;-0.11622653874132292;-1.2851805786905242;0.019302101581043517;0.7382323861444924;-1.2541892327819162;0;1;0;-0.4472468078010381;2024;9;1;-1.2394574814082437;-1.2394574814082437;-0.893553518937531;-0.8935535189375311;-1.0040946851236716;-1.0040946851236716;6;1.0;0.0;0.0
NIVEA SUN Protetor Solar Facial Tripla Proteção Loção Antissinais FPS 50 40ml - Com fórmula ultraleve e alta proteção, esse protetor solar tem triplo combate contra os raios UVA/UVB, radicais livres e luz visível, além de aumentar a produção de colágeno e reduzir rugas e linhas de expressão;BDF NIVEA;39.9;2024-09-02 07:33:00;-0.49581377530338455;0.9796181662379612;0.5790874801950269;-2.2161997888581215;1.5288129876218977;0.35407717953048173;-1.474492538471585;1.5617407860781651;-1.6271328603216955;-1.2517663304605486;1.4093012342578584;-0.11233242805093316;-0.24713341673290362;-0.22599600425545263;0.6043250242452255;1;0;0;-0.40041780880957983;2024;9;2;0.18609039810465763;0.1860903981046576;-0.7565217711926211;-0.7565217711926211;-0.7317412573259622;-0.7317412573259622;0;1.0;0.0;0.0
NIVEA SUN Protetor Solar Facial Tripla Proteção Loção Antissinais FPS 50 40ml - Com fórmula ultraleve e alta proteção, esse protetor solar tem triplo combate contra os raios UVA/UVB, radicais livres e luz visível, além de aumentar a produção de colágeno e reduzir rugas e linhas de expressão;BDF NIVEA;39.9;2024-09-03 13:53:00;1.322133880353049;-0.9262014693325238;1.2006313182606978;1.202311667071588;-1.561339509731685;0.991371907489235;0.6430629749042674;-0.5646734739381761;0.9606311019413297;1.2742966809967509;-1.1930696726230978;1.0605157225886577;0.0992327570752269;0.118371278030242;0.9140774004164157;0;0;1;-0.2604690761914289;2024;9;3;0.9247891158972087;0.9247891158972086;-0.6855138606125675;-0.6855138606125675;-0.5906115690202154;-0.5906115690202154;1;1.0;0.0;0.0
NIVEA SUN Protetor Solar Facial Tripla Proteção Loção Antissinais FPS 50 40ml - Com fórmula ultraleve e alta proteção, esse protetor solar tem triplo combate contra os raios UVA/UVB, radicais livres e luz visível, além de aumentar a produção de colágeno e reduzir rugas e linhas de expressão;BDF NIVEA;39.9;2024-09-04 07:41:00;-0.48066421150624794;1.17814104494322;0.8898593992278623;-2.3892889765001315;1.5288129876218977;0.6727245435098583;-1.2097980992996031;1.9161431627475554;-0.07447448296388032;-0.6557289906784898;0.8708796673169708;0.6695663390421275;-0.7000737978666145;1.082599668430187;0.6043250242452255;1;0;0;-0.17834531441330514;2024;9;4;0.6719021249047737;0.6719021249047736;-0.7098227925366818;-0.7098227925366817;-0.638926073101111;-0.638926073101111;2;1.0;0.0;0.0
NIVEA SUN Protetor Solar Facial Tripla Proteção Loção Antissinais FPS 50 40ml - Com fórmula ultraleve e alta proteção, esse protetor solar tem triplo combate contra os raios UVA/UVB, radicais livres e luz visível, além de aumentar a produção de colágeno e reduzir rugas e linhas de expressão;BDF NIVEA;39.9;2024-09-04 07:41:00;-0.48066421150624794;1.17814104494322;0.8898593992278623;-2.3892889765001315;1.5288129876218977;0.6727245435098583;-1.2097980992996031;1.9161431627475554;-0.07447448296388032;-0.6557289906784898;0.8708796673169708;0.6695663390421275;-0.7000737978666145;1.082599668430187;0.6043250242452255;1;0;0;-0.17834531441330514;2024;9;4;0.6719021249047737;0.6719021249047736;-0.7098227925366818;-0.7098227925366817;-0.638926073101111;-0.638926073101111;2;1.0;0.0;0.0
NIVEA SUN Protetor Solar Facial Tripla Proteção Loção Antissinais FPS 50 40ml - Com fórmula ultraleve e alta proteção, esse protetor solar tem triplo combate contra os raios UVA/UVB, radicais livres e luz visível, além de aumentar a produção de colágeno e reduzir rugas e linhas de expressão;BDF NIVEA;64.99;2024-09-04 19:01:00;1.049441732004584;-1.3232472267430415;-1.2855440340019857;0.8344971433323158;-1.3457474750325977;-1.5578070043457781;0.7152523674057163;-0.03306990893409083;0.7018547057150273;0.47958022795400457;0.42219502819956456;-1.2851805786905242;0.019302101581043517;1.151473124887326;-1.2541892327819162;0;1;0;-0.1260567769515784;2024;9;4;-0.8411686752907801;-0.8411686752907801;-0.35988000841740114;-0.3598800084174011;-0.4371650577201895;-0.4371650577201895;2;1.0;0.0;0.0
NIVEA SUN Protetor Solar Facial Tripla Proteção Loção Antissinais FPS 50 40ml - Com fórmula ultraleve e alta proteção, esse protetor solar tem triplo combate contra os raios UVA/UVB, radicais livres e luz visível, além de aumentar a produção de colágeno e reduzir rugas e linhas de expressão;BDF NIVEA;39.9;2024-09-17 09:11:00;-0.7685059236518497;0.9399135904969094;-0.042456357870644;0.16377654121952445;0.09153275629465002;0.6727245435098583;-0.7525986134570899;0.793868969961153;0.44307830948872473;0.11060473189844469;-0.47517425003524794;0.6695663390421275;-1.046439971674745;1.909081145915854;0.2945726480740352;1;0;0;1.2680479056676948;2024;9;17;0.5174484846459957;0.5174484846459957;-0.7246697524840781;-0.7246697524840781;-0.668434712526597;-0.668434712526597;1;1.0;0.0;0.0
NIVEA SUN Protetor Solar Facial Tripla Proteção Loção Antissinais FPS 50 40ml - Com fórmula ultraleve e alta proteção, esse protetor solar tem triplo combate contra os raios UVA/UVB, radicais livres e luz visível, além de aumentar a produção de colágeno e reduzir rugas e linhas de expressão;BDF NIVEA;39.9;2024-09-17 20:11:00;-0.9200015616232191;0.9399135904969094;-1.2855440340019857;0.596499510324551;-0.3396513131035243;-1.5578070043457781;0.18586348906175423;0.14413127940060427;-1.6271328603216955;0.13898746236425644;0.42219502819956456;-1.2851805786905242;-0.5402124868782459;0.04949782157310307;-1.2541892327819162;0;1;0;1.3187985449687825;2024;9;17;-1.0343015517198642;-1.0343015517198642;-0.8738327673518064;-0.8738327673518064;-0.964899284192804;-0.964899284192804;1;1.0;0.0;0.0
NIVEA SUN Protetor Solar Facial Tripla Proteção Loção Antissinais FPS 50 40ml - Com fórmula ultraleve e alta proteção, esse protetor solar tem triplo combate contra os raios UVA/UVB, radicais livres e luz visível, além de aumentar a produção de colágeno e reduzir rugas e linhas de expressão;BDF NIVEA;39.9;2024-09-18 11:31:00;-0.32916857353487844;0.22523122715797753;0.5790874801950269;0.596499510324551;0.1633967678610124;0.6727245435098583;0.25805288156320305;-0.26933816004701766;0.7018547057150273;0.6498766107488791;-0.8341219613291729;0.2786169554955971;0.019302101581043517;-0.776983655912564;0.9140774004164157;1;0;0;1.3895418603581775;2024;9;18;0.44336864586200075;0.4433686458620007;-0.731790726761491;-0.731790726761491;-0.6825877959224467;-0.6825877959224467;2;1.0;0.0;0.0
NIVEA SUN Protetor Solar Facial Tripla Proteção Loção Antissinais FPS 50 40ml - Com fórmula ultraleve e alta proteção, esse protetor solar tem triplo combate contra os raios UVA/UVB, radicais livres e luz visível, além de aumentar a produção de colágeno e reduzir rugas e linhas de expressão;BDF NIVEA;39.9;2024-09-18 19:58:00;-0.6018607218833436;1.17814104494322;-1.2855440340019857;0.5748633618693001;0.1633967678610124;-1.5578070043457781;0.47462105906755125;-0.03306990893409083;-1.6271328603216955;0.42281476702238;-0.02648961091784168;-1.2851805786905242;-0.19384631307011438;-0.776983655912564;-1.2541892327819162;0;1;0;1.4285275787303766;2024;9;18;-0.9536179891304675;-0.9536179891304675;-0.866077005686552;-0.8660770056865519;-0.949484547757812;-0.949484547757812;2;1.0;0.0;0.0
NIVEA SUN Protetor Solar Facial Tripla Proteção Loção Antissinais FPS 50 40ml - Com fórmula ultraleve e alta proteção, esse protetor solar tem triplo combate contra os raios UVA/UVB, radicais livres e luz visível, além de aumentar a produção de colágeno e reduzir rugas e linhas de expressão;BDF NIVEA;39.9;2024-09-20 09:54:00;0.6101043818876121;0.10611749993482221;1.2006313182606978;0.1421403927642736;0.3071247909937372;0.6727245435098583;-0.05476781927641081;0.14413127940060427;0.7018547057150273;0.4511974974881928;1.4093012342578584;0.6695663390421275;0.5521731382089378;-0.15712254779831372;0.9140774004164157;1;0;0;1.6035403894110973;2024;9;20;1.4127640691570167;1.4127640691570165;-0.6386069403597167;-0.6386069403597167;-0.4973830965783448;-0.4973830965783448;4;1.0;0.0;0.0
NIVEA SUN Protetor Solar Facial Tripla Proteção Loção Antissinais FPS 50 40ml - Com fórmula ultraleve e alta proteção, esse protetor solar tem triplo combate contra os raios UVA/UVB, radicais livres e luz visível, além de aumentar a produção de colágeno e reduzir rugas e linhas de expressão;BDF NIVEA;39.9;2024-09-20 09:54:00;0.6101043818876121;0.10611749993482221;1.2006313182606978;0.1421403927642736;0.3071247909937372;0.6727245435098583;-0.05476781927641081;0.14413127940060427;0.7018547057150273;0.4511974974881928;1.4093012342578584;0.6695663390421275;0.5521731382089378;-0.15712254779831372;0.9140774004164157;1;0;0;1.6035403894110973;2024;9;20;1.4127640691570167;1.4127640691570165;-0.6386069403597167;-0.6386069403597167;-0.4973830965783448;-0.4973830965783448;4;1.0;0.0;0.0
NIVEA SUN Protetor Solar Facial Tripla Proteção Loção Antissinais FPS 50 40ml - Com fórmula ultraleve e alta proteção, esse protetor solar tem triplo combate contra os raios UVA/UVB, radicais livres e luz visível, além de aumentar a produção de colágeno e reduzir rugas e linhas de expressão;BDF NIVEA;39.9;2024-09-20 18:08:00;1.185787806178816;-0.8467923178504203;0.26831556116219146;0.8128609948770642;-0.48337933623624907;0.6727245435098583;1.6296513390907443;-1.6278806039463467;0.9606311019413297;0.13898746236425644;1.4093012342578584;0.2786169554955971;0.818608656522885;-0.15712254779831372;-1.2541892327819162;0;1;0;1.641526473978881;2024;9;20;0.5841064417165693;0.5841064417165693;-0.7182622115731359;-0.7182622115731359;-0.655699592676139;-0.655699592676139;4;1.0;0.0;0.0
NIVEA SUN Protetor Solar Facial Tripla Proteção Loção Pele Radiante FPS50 40ml;BDF NIVEA;48.82;2024-09-02 07:33:00;-0.49581377530338455;0.9796181662379612;0.5790874801950269;-2.2161997888581215;1.5288129876218977;0.35407717953048173;-1.474492538471585;1.5617407860781651;-1.6271328603216955;-1.2517663304605486;1.4093012342578584;-0.11233242805093316;-0.24713341673290362;-0.22599600425545263;0.6043250242452255;1;0;0;-0.40041780880957983;2024;9;2;0.18609039810465763;0.1860903981046576;-0.5804014617354653;-0.5804014617354653;-0.557239232977676;-0.557239232977676;0;1.0;0.0;0.0
